order,group,sample_index,track_id,mp3_path,true_label,pred_label,confidence,true_confidence,focus,listening_question,human_judgement,notes
1,A. High-confidence errors,5262,113305,data/fma_small/113/113305.mp3,Rock,Electronic,0.9539,0.0019,先判断这是模型明显错，还是标签/genre 边界本身模糊。重点听主导音色、节奏、人声、语言和整体风格。,如果不看 true label，你会选 pred_label 还是 true_label？,,
2,A. High-confidence errors,6495,127289,data/fma_small/127/127289.mp3,Pop,Folk,0.9357,0.0198,先判断这是模型明显错，还是标签/genre 边界本身模糊。重点听主导音色、节奏、人声、语言和整体风格。,如果不看 true label，你会选 pred_label 还是 true_label？,,
3,A. High-confidence errors,3931,87187,data/fma_small/087/087187.mp3,Pop,Folk,0.9192,0.0266,先判断这是模型明显错，还是标签/genre 边界本身模糊。重点听主导音色、节奏、人声、语言和整体风格。,如果不看 true label，你会选 pred_label 还是 true_label？,,
4,A. High-confidence errors,6805,131436,data/fma_small/131/131436.mp3,Pop,Rock,0.8811,0.0612,先判断这是模型明显错，还是标签/genre 边界本身模糊。重点听主导音色、节奏、人声、语言和整体风格。,如果不看 true label，你会选 pred_label 还是 true_label？,,
5,A. High-confidence errors,3375,74377,data/fma_small/074/074377.mp3,Experimental,Folk,0.8759,0.0177,先判断这是模型明显错，还是标签/genre 边界本身模糊。重点听主导音色、节奏、人声、语言和整体风格。,如果不看 true label，你会选 pred_label 还是 true_label？,,
6,A. High-confidence errors,5454,115321,data/fma_small/115/115321.mp3,Electronic,Hip-Hop,0.8556,0.0281,先判断这是模型明显错，还是标签/genre 边界本身模糊。重点听主导音色、节奏、人声、语言和整体风格。,如果不看 true label，你会选 pred_label 还是 true_label？,,
7,A. High-confidence errors,2492,58063,data/fma_small/058/058063.mp3,Experimental,Electronic,0.8519,0.0254,先判断这是模型明显错，还是标签/genre 边界本身模糊。重点听主导音色、节奏、人声、语言和整体风格。,如果不看 true label，你会选 pred_label 还是 true_label？,,
8,A. High-confidence errors,639,13362,data/fma_small/013/013362.mp3,Pop,International,0.8463,0.0576,先判断这是模型明显错，还是标签/genre 边界本身模糊。重点听主导音色、节奏、人声、语言和整体风格。,如果不看 true label，你会选 pred_label 还是 true_label？,,
9,B. Pop -> Rock,2451,57435,data/fma_small/057/057435.mp3,Pop,Rock,0.7523,0.1228,听吉他、鼓组或 Rock 式能量是否让模型倾向 Rock。,这首是否真的更接近预测类别？Pop 标签是否过宽？,,
10,B. Pop -> Rock,902,21672,data/fma_small/021/021672.mp3,Pop,Rock,0.7457,0.1811,听吉他、鼓组或 Rock 式能量是否让模型倾向 Rock。,这首是否真的更接近预测类别？Pop 标签是否过宽？,,
