order,group,sample_index,track_id,mp3_path,true_label,pred_label,confidence,true_confidence,focus,listening_question,human_judgement,notes
1,A. High-confidence errors,5262,113305,data/fma_small/113/113305.mp3,Rock,Electronic,0.9539,0.0019,"First decide whether this is a clear model error or an ambiguous label/genre boundary. Focus on dominant timbre, rhythm, vocals, language, and overall style.","If you ignore the true label, would you choose the predicted label or the true label?",,
2,A. High-confidence errors,6495,127289,data/fma_small/127/127289.mp3,Pop,Folk,0.9357,0.0198,"First decide whether this is a clear model error or an ambiguous label/genre boundary. Focus on dominant timbre, rhythm, vocals, language, and overall style.","If you ignore the true label, would you choose the predicted label or the true label?",,
3,A. High-confidence errors,3931,87187,data/fma_small/087/087187.mp3,Pop,Folk,0.9192,0.0266,"First decide whether this is a clear model error or an ambiguous label/genre boundary. Focus on dominant timbre, rhythm, vocals, language, and overall style.","If you ignore the true label, would you choose the predicted label or the true label?",,
4,A. High-confidence errors,6805,131436,data/fma_small/131/131436.mp3,Pop,Rock,0.8811,0.0612,"First decide whether this is a clear model error or an ambiguous label/genre boundary. Focus on dominant timbre, rhythm, vocals, language, and overall style.","If you ignore the true label, would you choose the predicted label or the true label?",,
5,A. High-confidence errors,3375,74377,data/fma_small/074/074377.mp3,Experimental,Folk,0.8759,0.0177,"First decide whether this is a clear model error or an ambiguous label/genre boundary. Focus on dominant timbre, rhythm, vocals, language, and overall style.","If you ignore the true label, would you choose the predicted label or the true label?",,
6,A. High-confidence errors,5454,115321,data/fma_small/115/115321.mp3,Electronic,Hip-Hop,0.8556,0.0281,"First decide whether this is a clear model error or an ambiguous label/genre boundary. Focus on dominant timbre, rhythm, vocals, language, and overall style.","If you ignore the true label, would you choose the predicted label or the true label?",,
7,A. High-confidence errors,2492,58063,data/fma_small/058/058063.mp3,Experimental,Electronic,0.8519,0.0254,"First decide whether this is a clear model error or an ambiguous label/genre boundary. Focus on dominant timbre, rhythm, vocals, language, and overall style.","If you ignore the true label, would you choose the predicted label or the true label?",,
8,A. High-confidence errors,639,13362,data/fma_small/013/013362.mp3,Pop,International,0.8463,0.0576,"First decide whether this is a clear model error or an ambiguous label/genre boundary. Focus on dominant timbre, rhythm, vocals, language, and overall style.","If you ignore the true label, would you choose the predicted label or the true label?",,
9,B. Pop -> Rock,2451,57435,data/fma_small/057/057435.mp3,Pop,Rock,0.7523,0.1228,"Listen to whether guitars, drums, or rock-like energy cause the model to lean toward Rock.",Does this track actually sound closer to the predicted category? Is the Pop label too broad?,,
10,B. Pop -> Rock,902,21672,data/fma_small/021/021672.mp3,Pop,Rock,0.7457,0.1811,"Listen to whether guitars, drums, or rock-like energy cause the model to lean toward Rock.",Does this track actually sound closer to the predicted category? Is the Pop label too broad?,,
11,B. Pop -> Rock,4564,104068,data/fma_small/104/104068.mp3,Pop,Rock,0.7361,0.1893,"Listen to whether guitars, drums, or rock-like energy cause the model to lean toward Rock.",Does this track actually sound closer to the predicted category? Is the Pop label too broad?,,
12,B. Pop -> Rock,5895,121592,data/fma_small/121/121592.mp3,Pop,Rock,0.7105,0.1394,"Listen to whether guitars, drums, or rock-like energy cause the model to lean toward Rock.",Does this track actually sound closer to the predicted category? Is the Pop label too broad?,,
